N,exp(-2N),Holevo_Cinf,Dolinar_C1,Kennedy_beta0,Kennedy_optML,p_beta0,beta_star,p_star,eta,lambd
0.30183103210321033,0.5468055281354386,0.7720321953655747,0.5930112108117036,0.37530745770821344,0.41038800473728093,0.5907851152370734,-1.2623492014515407,0.43799035134938785,0.7,0.001
0.30203105200520053,0.5465868279064628,0.7722258150101221,0.5932609221842252,0.37551601488305525,0.41059309051201437,0.590762562506625,-1.2626663232911217,0.4380008089227394,0.7,0.001
0.30223107190719073,0.5463682151487866,0.7724192588714687,0.5935104896414043,0.37572451796154727,0.41079810974984066,0.5907400114936969,-1.2629833279925489,0.4380112756169812,0.7,0.001
0.30243109180918093,0.546149689827425,0.7726125271320412,0.5937599132592116,0.3759329669498082,0.4110030624756071,0.5907174622014607,-1.2633002266757747,0.4380217433009854,0.7,0.001
0.30263111171117113,0.5459312519074069,0.7728056199740282,0.5940091931135827,0.37614136185395913,0.41120794871414135,0.5906949146330818,-1.2636170130350597,0.4380322139968242,0.7,0.001
0.30283113161316133,0.5457129013537754,0.7729985375793794,0.5942583292804182,0.37634970268012563,0.4114127684902524,0.5906723687917191,-1.2639336884911294,0.43804268783796696,0.7,0.001
0.30303115151515153,0.5454946381315873,0.7731912801298071,0.5945073218355822,0.3765579894344367,0.41161752182872957,0.5906498246805254,-1.2642502532628497,0.4380531650534602,0.7,0.001
0.30323117141714173,0.5452764622059136,0.7733838478067849,0.5947561708549051,0.37676622212302396,0.41182220875434306,0.590627282302646,-1.264566707432013,0.43806364555076843,0.7,0.001
0.30343119131913193,0.5450583735418393,0.7735762407915504,0.5950048764141809,0.37697440075202365,0.41202682929184453,0.590604741661222,-1.2648830511415832,0.4380741293395875,0.7,0.001
0.30363121122112213,0.5448403721044631,0.7737684592651036,0.5952534385891688,0.3771825253275751,0.4122313834659655,0.5905822027593863,-1.265199284490932,0.43808461639484464,0.7,0.001
0.30383123112311233,0.544622457858898,0.7739605034082084,0.5955018574555924,0.3773905958558204,0.4124358713014192,0.5905596656002655,-1.2655154076068005,0.43809510671396146,0.7,0.001
0.30403125102510253,0.5444046307702707,0.7741523734013929,0.5957501330891405,0.3775986123429064,0.41264029282289943,0.5905371301869814,-1.2658314204389147,0.4381056003549037,0.7,0.001
0.30423127092709273,0.5441868908037218,0.7743440694249499,0.5959982655654663,0.3778065747949819,0.41284464805508136,0.5905145965226484,-1.2661473235425627,0.4381160970851234,0.7,0.001
0.30443129082908293,0.5439692379244062,0.7745355916589365,0.5962462549601881,0.3780144832182007,0.41304893702262047,0.5904920646103744,-1.266463116743812,0.43812659718852637,0.7,0.001
0.30463131073107313,0.5437516720974924,0.7747269402831752,0.5964941013488885,0.3782223376187192,0.4132531597501541,0.5904695344532619,-1.2667788001512377,0.43813710047944754,0.7,0.001
0.30483133063306334,0.5435341932881629,0.7749181154772551,0.5967418048071156,0.378430138002697,0.41345731626229987,0.5904470060544068,-1.2670943739068772,0.4381476070042935,0.7,0.001
0.30503135053505354,0.5433168014616143,0.7751091174205306,0.5969893654103815,0.3786378843762982,0.4136614065836571,0.5904244794168987,-1.2674098363033754,0.43815811619383366,0.7,0.001
0.30523137043704374,0.5430994965830568,0.7752999462921233,0.5972367832341643,0.378845576745689,0.413865430738806,0.5904019545438208,-1.2677251925567652,0.43816862711138865,0.7,0.001
0.3054313903390339,0.5428822786177149,0.7754906022709208,0.5974840583539052,0.3790532151170405,0.41406938875230803,0.5903794314382508,-1.2680404385730284,0.43817914585665546,0.7,0.001
0.3056314102410241,0.5426651475308266,0.7756810855355794,0.5977311908450125,0.379260799496526,0.41427328064870594,0.5903569101032597,-1.268355575321586,0.4381896652609964,0.7,0.001
0.3058314301430143,0.542448103287644,0.7758713962645223,0.5979781807828574,0.37946832989032264,0.414477106452523,0.5903343905419127,-1.2686706023712357,0.4382001877460077,0.7,0.001
0.3060314500450045,0.5422311458534335,0.7760615346359414,0.5982250282427772,0.37967580630461156,0.4146808661882649,0.5903118727572685,-1.2689855208331007,0.43821071346448137,0.7,0.001
0.3062314699469947,0.5420142751934744,0.7762515008277973,0.5984717333000735,0.37988322874557645,0.4148845598804175,0.5902893567523801,-1.2693003290300398,0.4382212447785791,0.7,0.001
0.3064314898489849,0.5417974912730611,0.776441295017819,0.598718296030013,0.3800905972194049,0.41508818755344873,0.5902668425302942,-1.2696150316511798,0.43823177439709715,0.7,0.001
0.3066315097509751,0.5415807940575008,0.7766309173835058,0.5989647165078276,0.3802979117322883,0.41529174923180767,0.5902443300940511,-1.2699296238852265,0.43824230962522986,0.7,0.001
0.3068315296529653,0.5413641835121152,0.7768203681021263,0.5992109948087139,0.3805051722904203,0.41549524493992457,0.590221819446686,-1.2702441078528504,0.438252847986146,0.7,0.001
0.3070315495549555,0.5411476596022399,0.7770096473507195,0.5994571310078327,0.3807123788999989,0.41569867470221106,0.5901993105912273,-1.2705584830453491,0.43826338925136477,0.7,0.001
0.3072315694569457,0.5409312222932239,0.7771987553060957,0.5997031251803115,0.38091953156722536,0.41590203854306057,0.5901768035306975,-1.2708727509206215,0.4382739341171186,0.7,0.001
0.3074315893589359,0.5407148715504304,0.7773876921448353,0.5999489774012418,0.3811266302983048,0.41610533648684767,0.5901542982681132,-1.2711869102652915,0.43828448190506053,0.7,0.001
0.3076316092609261,0.5404986073392365,0.7775764580432907,0.6001946877456794,0.3813336750994442,0.41630856855792864,0.590131794806485,-1.271500961868852,0.4382950331315793,0.7,0.001
0.3078316291629163,0.540282429625033,0.7777650531775862,0.6004402562886464,0.3815406659768557,0.416511734780641,0.5901092931488177,-1.271814905079231,0.43830558678160075,0.7,0.001
0.3080316490649065,0.5400663383732245,0.7779534777236183,0.6006856831051294,0.38174760293675375,0.4167148351793042,0.5900867932981098,-1.2721287415211944,0.4383161428216977,0.7,0.001
0.3082316689668967,0.5398503335492296,0.7781417318570564,0.6009309682700796,0.3819544859853567,0.41691786977821876,0.5900642952573542,-1.2724424689336402,0.4383267040858689,0.7,0.001
0.3084316888688869,0.5396344151184808,0.7783298157533425,0.6011761118584142,0.382161315128886,0.4171208386016673,0.5900417990295378,-1.2727560877590527,0.4383372651693222,0.7,0.001
0.3086317087708771,0.5394185830464239,0.7785177295876928,0.6014211139450145,0.3823680903735665,0.4173237416739139,0.5900193046176413,-1.2730696027336585,0.43834783374991976,0.7,0.001
