N,exp(-2N),Holevo_Cinf,Dolinar_C1,Kennedy_beta0,Kennedy_optML,p_beta0,beta_star,p_star,eta,lambd
1e-06,0.999998000002,2.1374242957285254e-05,2.8853862346078785e-06,1.4860651693055894e-06,1.9906575155770323e-06,0.632120418073843,0.11870430988633413,0.45278907560272996,0.7,0.0
0.00020101990199019904,0.9995980410031919,0.0027580846848534847,0.0005798653954662836,0.0002986979075171258,0.00040117031565814476,0.6320932023282406,0.10892024792868472,0.4883216615934081,0.7,0.0
0.0004010398039803981,0.9991982419719047,0.005101967694627668,0.001156537716977879,0.0005958485099861821,0.0008007664034905618,0.6320659835573533,0.1108023295708303,0.5179259567555371,0.7,0.0
0.0006010597059705971,0.9987986028441574,0.00729448272781617,0.0017329024984524821,0.0008929378745127937,0.001197364408089055,0.6320387663822672,0.11564914695969102,0.5284366382957981,0.7,0.0
0.0008010796079607962,0.9983991235559952,0.009388371773453072,0.0023089598875107864,0.001189966003030913,0.001592386933452844,0.6320115508096953,0.12236419654501006,0.5304230419104231,0.7,0.0
0.0010010995099509951,0.9979998040434888,0.01140873401926632,0.002884710031712201,0.001486932897481301,0.0019862015938644922,0.6319843368420046,0.12772255596115384,0.5320442684299335,0.7,0.0
0.001201119411941194,0.9976006442427342,0.013370369779978093,0.0034601530785542955,0.0017838385598069138,0.002378936346786903,0.631957124480829,0.13218830509757715,0.5334218419929937,0.7,0.0
0.0014011393139313933,0.9972016440898531,0.015283067029356617,0.004035289175472134,0.002080682991954798,0.0027706851533051136,0.6319299137273433,0.13601907519882772,0.534623802333569,0.7,0.0
0.0016011592159215922,0.9968028035209929,0.0171537874398034,0.004610118469839497,0.002377466195876924,0.003161520826145167,0.6319027045828665,0.13937351028851355,0.5356924964494054,0.7,0.0
0.0018011791179117912,0.9964041224723263,0.018987739522759343,0.005184641108968324,0.002674188173525247,0.0035515019515303115,0.6318754970485558,0.1423565964641658,0.5366562141951742,0.7,0.0
0.0020011990199019906,0.9960056008800517,0.020788968447219242,0.005758857240108828,0.0029708489268601007,0.00394067699873453,0.631848291125556,0.14504159179778695,0.5375348644446706,0.7,0.0
0.0022012189218921898,0.995607238680393,0.022560707520599955,0.0063327670104493805,0.0032674484578413855,0.004329086936548224,0.6318210868150758,0.14748173914364054,0.5383430296364385,0.7,0.0
0.0024012388238823885,0.9952090358095994,0.02430560083058287,0.0069063705671168485,0.0035639867684344496,0.004716766989675894,0.6317938841182447,0.1497170049110131,0.5390917348308134,0.7,0.0
0.0026012587258725877,0.994810992203946,0.026025851193178413,0.007479668057176259,0.003860463860609637,0.005103747867854294,0.6317666830362304,0.15177818837421647,0.5397895332753067,0.7,0.0
0.002801278627862787,0.9944131077997328,0.027723322337871153,0.00805265962763091,0.004156879736336085,0.005490056655371667,0.6317394835701448,0.15368954757160333,0.5404432040927981,0.7,0.0
0.0030012985298529856,0.994015382533286,0.02939961176950177,0.008625345425422593,0.004453234397592338,0.005875717472921954,0.631712285721185,0.15547054306181154,0.5410582177340371,0.7,0.0
0.0032013184318431848,0.9936178163409566,0.03105610412953555,0.009197725597431483,0.004749527846357703,0.006260751981671753,0.6316850894904676,0.15713702656667103,0.5416390621645267,0.7,0.0
0.003401338333833384,0.9932204091591216,0.032694011176204615,0.009769800290475916,0.005045760084613802,0.006645179774858345,0.6316578948791434,0.15870212360161348,0.5421894477461086,0.7,0.0
0.0036013582358235827,0.9928231609241829,0.03431440233331706,0.010341569651313165,0.005341931114349115,0.007029018687269711,0.6316307018883555,0.1601767636025208,0.5427125164152807,0.7,0.0
0.003801378137813782,0.9924260715725683,0.035918228435653954,0.01091303382663833,0.005638040937552883,0.007412285043510741,0.6316035105192472,0.1615702263931604,0.5432109418598934,0.7,0.0
0.004001398039803981,0.9920291410407309,0.03750634046615905,0.011484192963085449,0.005934089556220143,0.007794993859796817,0.6315763207729665,0.16289034632776297,0.5436869337086941,0.7,0.0
0.00420141794179418,0.9916323692651492,0.03907950453988832,0.012055047207227165,0.006230076972347155,0.00817715900989674,0.6315491326506593,0.16414396358966218,0.544142523154736,0.7,0.0
0.004401437843784379,0.991235756182327,0.04063841403018226,0.01262559670557395,0.006526003187936287,0.008558793363024175,0.6315219461534521,0.16533693720917794,0.5445793952928013,0.7,0.0
0.004601457745774578,0.9908393017287934,0.04218369948770898,0.013195841604575431,0.006821868204992344,0.008939908899493004,0.6314947612825056,0.16647439147886028,0.5449990569297973,0.7,0.0
0.004801477647764777,0.9904430058411033,0.04371593683293751,0.013765782050619513,0.007117672025522041,0.009320516808547313,0.6314675780389507,0.16756082748255333,0.5454028177338034,0.7,0.0
0.0050014975497549765,0.9900468684558368,0.04523565418223847,0.014335418190033034,0.007413414651539808,0.00970062757174947,0.63144039642394,0.16860021378846626,0.5457918512796884,0.7,0.0
0.005201517451745175,0.9896508895095991,0.046743337581204324,0.014904750169081105,0.007709096085058702,0.010080251034558091,0.6314132164386062,0.16959607137954893,0.54616719777916,0.7,0.0
0.005401537353735374,0.989255068939021,0.04823943585556022,0.01547377813396733,0.008004716328100181,0.010459396468162158,0.6313860380840881,0.1705515180752619,0.5465297855102875,0.7,0.0
0.005601557255725574,0.9888594066807588,0.04972436474321972,0.016042502230834255,0.008300275382686767,0.010838072623214512,0.631358861361544,0.17146942692467074,0.5468804607735792,0.7,0.0
0.005801577157715772,0.9884639026714936,0.051198510435950494,0.016610922605763356,0.00859577325084273,0.011216287776779188,0.6313316862721037,0.17235226015097793,0.5472199688294256,0.7,0.0
0.006001597059705971,0.9880685568479325,0.05266223263250719,0.017179039404774055,0.00889120993460131,0.011594049773556936,0.6313045128168991,0.173202316722774,0.5475489958420781,0.7,0.0
0.006201616961696171,0.9876733691468073,0.054115867184699906,0.01774685277382526,0.009186585435993003,0.011971366062255795,0.6312773409970877,0.1740216560982046,0.5478681559161256,0.7,0.0
0.006401636863686369,0.9872783395048755,0.05555972840208086,0.01831436285881405,0.009481899757057585,0.012348243727816594,0.6312501708138054,0.174812162059897,0.5481780343712712,0.7,0.0
0.006601656765676568,0.9868834678589198,0.05699411106861341,0.018881569805576537,0.009777152899834968,0.012724689520083932,0.6312230022681873,0.1755755366598134,0.5484791339688487,0.7,0.0
0.006801676667666768,0.9864887541457481,0.058419292214968555,0.019448473759887452,0.010072344866369175,0.013100709879408895,0.6311958353613816,0.17631332717315581,0.5487719182290567,0.7,0.0
0.0070016965696569665,0.9860941983021938,0.059835532682401216,0.02001507486746079,0.010367475658709213,0.013476310959595394,0.6311686700945134,0.17702697831452383,0.5490568394070022,0.7,0.0
0.007201716471647165,0.9856998002651152,0.06124307850797954,0.020581373273948933,0.010662545278905422,0.01385149864853294,0.6311415064687437,0.17771779743800425,0.5493342929930808,0.7,0.0
0.007401736373637365,0.985305559971396,0.06264216215597973,0.021147369124943194,0.010957553729013754,0.014226278586807889,0.6311143444851997,0.17838700655711337,0.5496046401562152,0.7,0.0
0.007601756275627564,0.9849114773579455,0.06403300361623987,0.021713062565973495,0.011252501011093367,0.014600656184540872,0.6310871841450234,0.17903567977349505,0.5498682513069247,0.7,0.0
0.007801776177617762,0.9845175523616977,0.06541581138697522,0.022278453742509363,0.011547387127206793,0.014974636636661875,0.631060025449354,0.17966488937041358,0.5501254166511688,0.7,0.0
0.008001796079607961,0.9841237849196122,0.06679078335686227,0.022843542799958483,0.011842212079418914,0.015348224936805044,0.6310328683993356,0.18027557683881076,0.5503764408120775,0.7,0.0
0.00820181598159816,0.9837301749686734,0.06815810759898877,0.023408329883668144,0.012136975869800198,0.015721425889978408,0.6310057129961033,0.1808686296288191,0.5506215987013194,0.7,0.0
0.008401835883588359,0.9833367224458914,0.06951796308740472,0.02397281513892424,0.012431678500424904,0.016094244124145785,0.6309785592407979,0.18144487270211943,0.5508611467579025,0.7,0.0
0.008601855785578557,0.9829434272883013,0.07087052034549855,0.024536998710951385,0.012726319973368427,0.016466684100836015,0.6309514071345557,0.18200507479789915,0.5510953245252432,0.7,0.0
0.008801875687568758,0.9825502894329633,0.07221594203411258,0.0251008807449139,0.013020900290711762,0.016838750124884033,0.6309242566785168,0.18254995334032614,0.5513243561358863,0.7,0.0
0.009001895589558957,0.9821573088169627,0.07355438348624999,0.025664461385914494,0.013315419454538763,0.01721044635339139,0.6308971078738171,0.183080179066138,0.5515484516914757,0.7,0.0
0.009201915491549155,0.9817644853774102,0.07488599319430099,0.026227740778995368,0.01360987746693744,0.017581776803986315,0.6308699607216001,0.18359637930695782,0.5517678081120155,0.7,0.0
0.009401935393539354,0.9813718190514416,0.07621091325495102,0.026790719069137436,0.01390427432999862,0.017952745362450534,0.6308428152230069,0.18409914300767694,0.551982610842201,0.7,0.0
0.009601955295529553,0.9809793097762176,0.07752927977626548,0.027353396401261,0.014198610045818225,0.01832335578977573,0.6308156713791653,0.18458902250192646,0.5521930341463291,0.7,0.0
0.009801975197519752,0.9805869574889243,0.07884122325089542,0.027915772920225068,0.014492884616492743,0.018693611728702042,0.6307885291912247,0.18506653712912102,0.5523992422993926,0.7,0.0
0.010001995099509952,0.9801947621267729,0.08014686889885264,0.028477848770828595,0.014787098044126507,0.019063516709786565,0.63076138866032,0.18553217553308557,0.5526013902587315,0.7,0.0
0.01020201500150015,0.9798027236269997,0.08144633698290023,0.029039624097808803,0.015081250330823956,0.019433074157045704,0.630734249787581,0.1859863964123874,0.5527996232998414,0.7,0.0
0.01040203490349035,0.9794108419268659,0.08273974309924148,0.029601099045842627,0.015375341478694668,0.019802287393206858,0.6307071125741552,0.18642964084345293,0.552994083116745,0.7,0.0
0.010602054805480548,0.979019116963658,0.08402719844587551,0.030162273759545943,0.015669371489850453,0.020171159644605696,0.6306799770211757,0.18686231246531443,0.5531848974804892,0.7,0.0
0.010802074707470747,0.9786275486746875,0.0853088100707323,0.030723148383474008,0.0159633403664092,0.020539694045758228,0.6306528431297773,0.18728480163804734,0.5533721916354079,0.7,0.0
0.011002094609460946,0.9782361369972911,0.08658468110145327,0.03128372306212168,0.016257248110490063,0.020907893643634712,0.6306257109011029,0.18769747564916459,0.5535560833614289,0.7,0.0
