N,exp(-2N),Holevo_Cinf,Dolinar_C1,Kennedy_beta0,Kennedy_optML,p_beta0,beta_star,p_star,eta,lambd
1e-06,0.999998000002,2.1374242957285254e-05,2.8853862346078785e-06,2.1229497875524204e-06,2.838863146947812e-06,0.6321203611593419,0.11634930154325086,0.4531679190426055,1.0,0.0
0.00020101990199019904,0.9995980410031919,0.0027580846848534847,0.0005798653954662836,0.00042669236153179907,0.0005720144696540752,0.6320814786260809,0.09775419937156174,0.48890398315610645,1.0,0.0
0.0004010398039803981,0.9991982419719047,0.005101967694627668,0.001156537716977879,0.0008511367956332769,0.001141341541940788,0.6320425961365851,0.09983400191246307,0.5190873874083943,1.0,0.0
0.0006010597059705971,0.9987986028441574,0.00729448272781617,0.0017329024984524821,0.001275456257736467,0.0017058665522899225,0.6320037169159255,0.10376321102813583,0.5309181620475583,1.0,0.0
0.0008010796079607962,0.9983991235559952,0.009388371773453072,0.0023089598875107864,0.0016996507534938476,0.002267671671140878,0.6319648409714864,0.10959847720158314,0.5330513741970768,1.0,0.0
0.0010010995099509951,0.9979998040434888,0.01140873401926632,0.002884710031712201,0.002123720288579361,0.0028274113270075063,0.6319259683074379,0.11423091512427301,0.5347862355356316,1.0,0.0
0.001201119411941194,0.9976006442427342,0.013370369779978093,0.0034601530785542955,0.0025476648686774024,0.0033853039753331954,0.6318870989273435,0.1180733777333882,0.5362566727507748,1.0,0.0
0.0014011393139313933,0.9972016440898531,0.015283067029356617,0.004035289175472134,0.002971484499492555,0.0039415100273512554,0.631848232834685,0.12135508178480857,0.5375366669295779,1.0,0.0
0.0016011592159215922,0.9968028035209929,0.0171537874398034,0.004610118469839497,0.003395179186737398,0.004496153786830909,0.6318093700328458,0.12421694088567041,0.5386722496549953,1.0,0.0
0.0018011791179117912,0.9964041224723263,0.018987739522759343,0.005184641108968324,0.0038187489361464315,0.005049335268365637,0.6317705105251794,0.1267520761374372,0.5396941508505044,1.0,0.0
0.0020011990199019906,0.9960056008800517,0.020788968447219242,0.005758857240108828,0.004242193753463762,0.005601137213916682,0.6317316543150492,0.12902537885211596,0.5406239886280402,1.0,0.0
0.0022012189218921898,0.995607238680393,0.022560707520599955,0.0063327670104493805,0.004665513644452578,0.006151629560062044,0.6316928014058079,0.13108395063700046,0.5414775888984277,1.0,0.0
