N,Helstrom_Pe,Kennedy_beta0,Kennedy_opt,beta_star
1.11551199339934,0.0028930467453700537,0.005769354051798296,0.005496601608408245,0.022407545967790755
1.11571201330133,0.0028907262760725083,0.005764739955338732,0.005492361774609501,0.022392672611834967
1.1159120332033203,0.002888407673411475,0.005760129549047234,0.005488125132106068,0.022377808467930412
1.1161120531053106,0.0028860909358764397,0.005755522829972553,0.00548389167858645,0.022362953016818073
1.1163120730073008,0.002883776061958443,0.005750919795165829,0.0054796614117407424,0.02234810678710702
1.1165120929092909,0.0028814630501496352,0.005746320441680522,0.005475434329260604,0.022333269575897777
1.1167121128112811,0.0028791518989433884,0.0057417247665724445,0.005471210428839263,0.0223184414399
1.1169121327132714,0.0028768426068344066,0.00573713276689978,0.005466989708171542,0.022303622313262248
1.1171121526152616,0.0028745351723184487,0.005732544439723092,0.005462772164953855,0.022288812197807734
1.1173121725172517,0.002872229593892661,0.005727959782105243,0.0054585577968841725,0.022274011128005828
1.117512192419242,0.0028699258700553565,0.005723378791111457,0.00545434660166203,0.02225921917013253
1.1177122123212322,0.002867623999306068,0.0057188014638093415,0.005450138576988574,0.02224443600596109
1.1179122322232224,0.0028653239801456065,0.005714227797268818,0.0054459337205665015,0.02222966134774469
1.1181122521252125,0.0028630258110759477,0.005709657788562155,0.005441732030100092,0.022214896826806513
1.1183122720272027,0.0028607294906003444,0.005705091434763961,0.005437533503295177,0.02220014085644432
1.118512291929193,0.002858435017223271,0.00570052873295118,0.005433338137859177,0.02218539385613172
1.1187123118311832,0.002856142389450367,0.005695969680203115,0.005429145931501086,0.022170655688895483
1.1189123317331733,0.002853851605788549,0.005691414273601392,0.005424956881931468,0.02215592663440456
1.1191123516351635,0.0028515626647459547,0.005686862510229956,0.005420770986862424,0.022141206521589605
1.1193123715371538,0.002849275564831888,0.005682314387175114,0.005416588244007662,0.022126495389303388
1.119512391439144,0.0028469903045569844,0.005677769901525491,0.0054124086510824445,0.02211179321482714
1.119712411341134,0.00284470688243299,0.0056732290503720174,0.005408232205803586,0.02209710017876571
1.1199124312431243,0.0028424252969728725,0.005668691830807986,0.005404058905889467,0.022082415632834154
1.1201124511451146,0.0028401455466908754,0.005664158239928983,0.00539988874906004,0.022067740471084743
1.1203124710471049,0.002837867630102464,0.005659628274832951,0.005395721733036822,0.022053074740091355
1.1205124909490949,0.0028355915457242697,0.005655101932620127,0.00539155785554289,0.022038416731459818
